,condition
964,0
965,0
966,2
967,1
968,0
969,0
970,2
971,1
972,0
973,0
974,2
975,0
976,2
977,0
978,1
979,2
980,0
981,0
982,0
983,1
984,0
985,0
986,1
987,1
988,2
989,0
990,0
991,0
992,0
993,1
994,2
995,1
996,1
997,0
998,0
999,2
1000,0
1001,1
1002,2
1003,1
1004,0
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,0
1013,1
1014,1
1015,0
1016,1
1017,1
1018,1
1019,0
1020,1
1021,1
1022,0
1023,0
1024,2
1025,1
1026,1
1027,1
1028,2
1029,2
1030,0
1031,1
1032,2
1033,0
1034,0
1035,1
1036,1
1037,0
1038,1
1039,0
1040,2
1041,0
1042,1
1043,0
1044,0
1045,1
1046,2
1047,2
1048,1
1049,1
1050,1
1051,0
1052,1
1053,1
1054,1
1055,0
1056,0
1057,1
1058,1
1059,1
1060,0
1061,0
1062,0
1063,1
1064,0
1065,0
1066,0
1067,2
1068,0
1069,2
1070,0
1071,2
1072,1
1073,0
1074,1
1075,1
1076,2
1077,2
1078,1
1079,0
1080,1
1081,1
1082,0
1083,2
1084,2
1085,2
1086,1
1087,0
1088,1
1089,1
1090,1
1091,1
1092,1
1093,1
1094,1
1095,2
1096,0
1097,2
1098,2
1099,1
1100,0
1101,1
1102,1
1103,2
1104,1
1105,1
1106,1
1107,2
1108,1
1109,2
1110,1
1111,1
1112,1
1113,1
1114,0
1115,1
1116,0
1117,1
1118,1
1119,0
1120,1
1121,1
1122,0
1123,0
1124,0
1125,1
1126,1
1127,1
1128,1
1129,0
1130,2
1131,2
1132,1
1133,0
1134,2
1135,1
1136,2
1137,1
1138,1
1139,0
1140,0
1141,1
1142,2
1143,1
1144,1
1145,0
1146,2
1147,2
1148,0
1149,0
1150,1
1151,1
1152,0
1153,1
1154,1
1155,1
1156,2
1157,1
1158,0
1159,1
1160,1
1161,2
1162,0
1163,1
1164,0
1165,2
1166,1
1167,1
1168,2
1169,1
1170,0
1171,0
1172,1
1173,2
1174,2
1175,0
1176,1
1177,1
1178,0
1179,0
1180,0
1181,1
1182,2
1183,2
1184,1
1185,0
1186,1
1187,1
1188,1
1189,0
1190,1
1191,0
1192,0
1193,0
1194,2
1195,2
1196,0
1197,1
1198,2
1199,0
1200,2
1201,2
1202,2
1203,1
1204,0
1205,1
1206,1
1207,2
1208,1
1209,1
1210,0
1211,0
1212,2
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,0
1220,1
1221,2
1222,0
1223,1
1224,1
1225,1
1226,0
1227,1
1228,1
1229,2
1230,0
1231,0
1232,1
1233,0
1234,1
1235,0
1236,2
1237,0
1238,2
1239,1
1240,1
1241,1
1242,1
1243,0
1244,1
1245,1
1246,0
1247,0
1248,1
1249,0
1250,0
1251,2
1252,0
1253,1
1254,1
1255,2
1256,0
1257,1
1258,0
1259,1
1260,1
1261,1
1262,2
1263,2
1264,1
1265,1
1266,1
1267,0
1268,0
1269,0
1270,1
1271,1
1272,0
1273,1
1274,0
1275,1
1276,1
1277,0
1278,1
1279,1
1280,1
1281,1
1282,2
1283,0
1284,0
1285,1
1286,2
1287,1
1288,1
1289,1
1290,0
1291,0
1292,1
1293,1
1294,0
1295,0
1296,0
1297,1
1298,1
1299,1
1300,0
1301,1
1302,0
1303,0
1304,0
1305,1
1306,0
1307,2
1308,1
1309,0
1310,1
1311,2
1312,0
1313,1
1314,1
1315,1
1316,1
1317,1
1318,0
1319,2
1320,0
1321,0
1322,0
1323,1
1324,1
1325,0
1326,1
1327,2
1328,0
1329,1
1330,0
1331,2
1332,1
1333,2
1334,1
1335,1
1336,1
1337,1
1338,2
1339,1
1340,2
1341,0
1342,0
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,0
1357,1
1358,2
1359,1
1360,2
1361,1
1362,2
1363,2
1364,0
1365,1
1366,2
1367,2
1368,0
1369,1
1370,0
1371,1
1372,1
1373,1
1374,2
1375,0
1376,2
1377,0
1378,1
1379,1
1380,1
1381,1
1382,1
1383,1
1384,0
1385,1
1386,1
1387,2
1388,1
1389,0
1390,1
1391,0
1392,1
1393,0
1394,1
1395,1
1396,0
1397,1
1398,0
1399,0
1400,0
1401,1
1402,0
1403,1
1404,1
1405,0
1406,1
1407,0
1408,1
1409,0
1410,2
1411,2
1412,0
1413,1
1414,1
1415,0
1416,1
1417,2
1418,1
1419,1
1420,1
1421,1
1422,0
1423,1
1424,1
1425,1
1426,2
1427,1
1428,2
1429,0
1430,1
1431,1
1432,0
1433,0
1434,1
1435,1
1436,2
1437,0
1438,2
1439,1
1440,0
1441,1
1442,2
1443,0
1444,1
1445,1
1446,0
1447,0
1448,1
1449,2
1450,1
1451,2
1452,2
1453,0
1454,1
1455,1
1456,1
1457,0
1458,0
1459,1
1460,1
1461,1
1462,1
1463,1
1464,1
1465,1
1466,0
1467,2
1468,0
1469,1
1470,1
1471,1
1472,1
1473,0
1474,0
1475,2
1476,1
1477,2
1478,1
1479,1
1480,0
1481,0
1482,2
1483,2
1484,0
1485,2
1486,1
1487,0
1488,1
1489,1
1490,2
1491,1
1492,0
1493,0
1494,1
1495,1
1496,1
1497,1
1498,0
1499,2
1500,2
1501,1
1502,2
1503,0
1504,0
1505,1
1506,2
1507,1
1508,0
1509,1
1510,1
1511,2
1512,0
1513,0
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,2
1521,0
1522,1
1523,1
1524,1
1525,2
1526,1
1527,1
1528,1
1529,1
1530,1
1531,1
1532,1
1533,0
1534,1
1535,2
1536,1
1537,0
1538,1
1539,1
1540,2
1541,1
1542,0
1543,1
1544,1
1545,1
1546,0
1547,1
1548,0
1549,2
1550,1
1551,0
1552,0
1553,0
1554,0
1555,1
1556,2
1557,1
1558,1
1559,0
1560,0
1561,1
1562,1
1563,1
1564,1
1565,1
1566,1
1567,1
1568,0
1569,1
1570,1
1571,1
1572,0
1573,1
1574,1
1575,1
1576,1
1577,1
1578,0
1579,2
1580,2
1581,1
1582,0
1583,1
1584,0
1585,0
1586,0
1587,1
1588,1
1589,1
1590,1
1591,0
1592,1
1593,0
1594,1
1595,0
1596,2
1597,1
1598,1
1599,0
1600,2
1601,1
1602,1
1603,0
1604,1
1605,0
1606,0
1607,0
1608,0
1609,1
1610,2
1611,2
1612,0
1613,2
1614,1
1615,1
1616,1
1617,1
1618,2
1619,0
1620,1
1621,1
1622,1
1623,1
1624,2
1625,1
1626,1
1627,1
1628,0
1629,1
1630,0
1631,0
1632,0
1633,1
1634,1
1635,0
1636,0
1637,1
1638,2
1639,1
1640,0
1641,1
1642,2
1643,2
1644,2
1645,1
1646,1
1647,1
1648,0
1649,1
1650,1
1651,0
1652,1
1653,1
1654,1
1655,1
1656,1
1657,2
1658,1
1659,0
1660,1
1661,0
1662,0
1663,1
1664,1
1665,1
1666,1
1667,1
1668,0
1669,2
1670,1
1671,2
1672,1
1673,1
1674,0
1675,1
1676,1
1677,1
1678,2
1679,0
1680,1
1681,0
1682,1
1683,1
1684,0
1685,2
1686,0
1687,1
1688,1
1689,1
1690,1
1691,1
1692,0
1693,1
1694,1
1695,1
1696,2
1697,0
1698,1
1699,0
1700,0
1701,0
1702,1
1703,0
1704,1
1705,1
1706,1
1707,1
1708,1
1709,0
1710,2
1711,0
1712,1
1713,1
1714,1
1715,1
1716,0
1717,2
1718,1
1719,0
1720,1
1721,0
1722,1
1723,1
1724,1
1725,1
1726,1
1727,0
1728,1
1729,1
1730,2
1731,1
1732,0
1733,0
1734,1
1735,2
1736,1
1737,2
1738,0
1739,0
1740,0
1741,0
1742,0
1743,2
1744,1
1745,1
1746,1
1747,0
1748,1
1749,0
1750,1
1751,2
1752,0
1753,1
1754,1
1755,1
1756,0
1757,2
1758,0
1759,0
1760,1
1761,1
1762,0
1763,1
1764,0
1765,1
1766,0
1767,1
1768,1
1769,1
1770,1
1771,1
1772,2
1773,1
1774,1
1775,2
1776,1
1777,0
1778,1
1779,0
1780,1
1781,1
1782,0
1783,1
1784,0
1785,1
1786,1
1787,1
1788,0
1789,0
1790,2
1791,1
1792,1
1793,1
1794,1
1795,0
1796,2
1797,1
1798,0
1799,0
1800,1
1801,0
1802,1
1803,2
1804,1
1805,1
1806,2
1807,1
1808,1
1809,1
1810,1
1811,1
1812,1
1813,1
1814,1
1815,1
1816,1
1817,1
1818,0
1819,1
1820,1
1821,0
1822,1
1823,2
1824,1
1825,1
1826,0
1827,0
1828,1
1829,1
1830,1
1831,0
1832,0
1833,0
1834,1
1835,2
1836,2
1837,2
1838,2
1839,2
1840,0
1841,0
1842,1
1843,1
1844,2
1845,0
1846,0
1847,1
1848,1
1849,1
1850,1
1851,1
1852,2
1853,1
1854,0
1855,0
1856,0
1857,0
1858,1
1859,0
1860,0
1861,0
1862,0
1863,0
1864,1
1865,1
1866,0
1867,1
1868,0
1869,1
1870,0
1871,1
1872,1
1873,1
1874,1
1875,2
1876,1
1877,2
1878,1
1879,1
1880,0
1881,0
1882,1
1883,2
1884,1
1885,1
1886,1
1887,2
1888,1
1889,0
1890,1
1891,0
1892,2
1893,0
1894,2
1895,0
1896,1
1897,0
1898,1
1899,1
1900,1
1901,1
1902,0
1903,1
1904,1
1905,2
1906,1
1907,0
1908,1
1909,0
1910,2
1911,1
1912,1
1913,1
1914,2
1915,1
1916,1
1917,1
1918,0
1919,1
1920,0
1921,1
1922,2
1923,1
1924,0
1925,1
1926,1
1927,1
1928,1
1929,0
1930,1
1931,1
1932,2
1933,1
1934,0
1935,1
1936,1
1937,1
1938,1
1939,1
1940,0
1941,0
1942,2
1943,0
1944,0
1945,1
1946,1
1947,1
1948,1
1949,2
1950,0
1951,1
1952,1
1953,1
1954,2
1955,0
1956,1
1957,0
1958,0
1959,0
1960,0
1961,1
1962,0
1963,1
1964,1
1965,2
1966,1
1967,1
1968,1
1969,1
1970,2
1971,0
1972,0
1973,0
1974,1
1975,1
1976,2
1977,1
1978,0
1979,1
1980,0
1981,1
1982,1
1983,1
1984,1
1985,1
1986,1
1987,0
1988,1
1989,2
1990,1
1991,2
1992,2
1993,2
1994,1
1995,2
1996,1
1997,1
1998,0
1999,1
2000,1
2001,0
2002,0
2003,0
2004,0
2005,1
2006,0
2007,0
2008,0
2009,2
2010,1
2011,1
2012,1
2013,0
2014,1
2015,1
2016,0
2017,1
2018,1
2019,1
2020,1
2021,2
2022,1
2023,0
2024,0
2025,1
2026,1
2027,2
2028,1
2029,0
2030,1
2031,0
2032,1
2033,1
2034,1
2035,1
2036,2
2037,2
2038,1
2039,1
2040,2
2041,2
2042,1
2043,0
2044,1
2045,0
2046,1
2047,1
2048,2
2049,2
2050,1
2051,1
2052,1
2053,2
2054,0
2055,1
2056,2
2057,1
2058,1
2059,1
2060,0
2061,1
2062,0
2063,1
2064,0
2065,0
2066,2
2067,1
2068,0
2069,0
2070,1
2071,1
2072,1
2073,1
2074,1
2075,0
2076,1
2077,1
2078,0
2079,1
2080,0
2081,1
2082,0
2083,1
2084,0
2085,1
2086,1
2087,1
2088,0
2089,0
2090,0
2091,1
2092,0
2093,0
2094,0
2095,2
2096,0
2097,1
2098,1
2099,1
2100,0
2101,1
2102,1
2103,0
2104,0
2105,1
2106,1
2107,0
2108,0
2109,1
2110,0
2111,0
2112,1
2113,0
2114,1
2115,1
2116,1
2117,1
2118,0
2119,0
2120,1
2121,1
2122,2
2123,1
2124,0
2125,1
2126,1
2127,0
2128,1
2129,1
2130,0
2131,0
2132,2
2133,2
2134,0
2135,0
2136,0
2137,0
2138,2
2139,0
2140,1
2141,1
2142,1
2143,0
2144,1
2145,2
2146,1
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,0
2154,1
2155,1
2156,2
2157,1
2158,2
2159,0
2160,2
2161,1
2162,2
2163,0
2164,2
2165,2
2166,1
2167,1
2168,0
2169,0
2170,0
2171,1
2172,1
2173,2
2174,1
2175,2
2176,2
2177,0
2178,2
2179,2
2180,0
2181,1
2182,1
2183,1
2184,0
2185,1
2186,2
2187,0
2188,1
2189,1
2190,1
2191,0
2192,1
2193,1
2194,2
2195,0
2196,1
2197,1
2198,0
2199,1
2200,0
2201,0
2202,0
2203,0
2204,2
2205,2
2206,1
2207,0
2208,2
2209,1
2210,1
2211,0
2212,0
2213,0
2214,1
2215,1
2216,1
2217,1
2218,2
2219,1
2220,1
2221,1
2222,0
2223,0
2224,0
2225,2
2226,2
2227,1
2228,2
2229,0
2230,1
2231,1
2232,0
2233,0
2234,1
2235,0
2236,0
2237,1
2238,1
2239,1
2240,0
2241,1
2242,2
2243,1
2244,1
2245,2
2246,0
2247,0
2248,1
2249,0
2250,2
2251,0
2252,1
2253,0
2254,1
2255,1
2256,0
2257,2
2258,1
2259,2
2260,2
2261,2
2262,1
2263,0
2264,0
2265,1
2266,0
2267,2
2268,0
2269,1
2270,0
2271,1
2272,1
2273,0
2274,2
2275,1
2276,0
2277,1
2278,1
2279,2
2280,0
2281,2
2282,0
2283,1
2284,0
2285,0
2286,2
2287,0
2288,1
2289,0
2290,1
2291,1
2292,1
2293,1
2294,0
2295,0
2296,0
2297,1
2298,2
2299,1
2300,2
2301,0
2302,0
2303,2
2304,2
2305,0
2306,1
2307,2
2308,1
2309,1
2310,2
2311,2
2312,1
2313,0
2314,2
2315,0
2316,2
2317,2
2318,1
2319,1
2320,1
2321,1
2322,1
2323,0
2324,1
2325,1
2326,1
2327,1
2328,2
2329,0
2330,0
2331,1
2332,1
2333,1
2334,0
2335,0
2336,1
2337,1
2338,1
2339,2
2340,0
2341,2
2342,1
2343,1
2344,1
2345,0
2346,2
2347,0
2348,2
2349,2
2350,1
2351,2
2352,1
2353,0
2354,1
2355,1
2356,0
2357,1
2358,1
2359,1
2360,1
2361,1
2362,0
2363,0
2364,0
2365,1
2366,2
2367,1
2368,2
2369,0
2370,1
2371,2
2372,0
2373,1
2374,1
2375,0
2376,0
2377,1
2378,0
2379,1
2380,1
2381,0
2382,1
2383,1
2384,2
2385,1
2386,0
2387,2
2388,2
2389,0
2390,0
2391,0
2392,1
2393,1
2394,2
2395,0
2396,1
2397,0
2398,2
2399,1
2400,1
2401,0
2402,0
2403,2
2404,1
2405,1
2406,0
2407,2
2408,2
2409,0
2410,0
2411,1
2412,0
2413,1
2414,0
2415,0
2416,2
2417,0
2418,0
2419,1
2420,0
2421,1
2422,2
2423,0
2424,1
2425,0
2426,1
2427,0
2428,2
2429,1
2430,1
2431,0
2432,0
2433,0
2434,1
2435,1
2436,1
2437,1
2438,2
2439,0
2440,1
2441,1
2442,0
2443,1
2444,2
2445,1
2446,0
2447,1
2448,1
2449,1
2450,2
2451,1
2452,0
2453,0
2454,0
2455,1
2456,1
2457,2
2458,0
2459,1
2460,0
2461,1
2462,1
2463,0
2464,0
2465,1
2466,1
2467,1
2468,1
2469,0
2470,1
2471,2
2472,1
2473,0
2474,2
2475,1
2476,2
2477,1
2478,0
2479,0
2480,1
2481,1
2482,0
2483,1
2484,0
2485,1
2486,1
2487,1
2488,0
2489,0
2490,0
2491,1
2492,2
2493,2
2494,1
2495,1
2496,1
2497,1
2498,0
2499,1
2500,1
2501,1
2502,1
2503,2
2504,2
2505,2
2506,2
2507,0
2508,0
2509,1
2510,0
2511,2
2512,2
2513,2
2514,2
2515,1
2516,0
2517,2
2518,0
2519,0
2520,0
2521,0
2522,2
2523,0
2524,0
2525,1
2526,2
2527,1
2528,0
2529,0
2530,1
2531,1
2532,2
2533,0
2534,1
2535,1
2536,2
2537,1
2538,2
2539,1
2540,1
2541,1
2542,0
2543,1
2544,0
2545,1
2546,1
2547,0
2548,0
2549,2
2550,1
2551,1
2552,2
2553,2
2554,1
2555,1
2556,1
2557,1
2558,1
2559,2
2560,0
2561,0
2562,2
2563,2
2564,0
2565,1
2566,0
2567,1
2568,1
2569,2
2570,1
2571,1
2572,2
2573,0
2574,2
2575,0
2576,2
2577,2
2578,2
2579,0
2580,1
2581,1
2582,0
2583,0
2584,2
2585,1
2586,1
2587,0
2588,1
2589,0
2590,1
2591,1
2592,0
2593,0
2594,1
2595,2
2596,0
2597,2
2598,0
2599,2
2600,0
2601,0
2602,0
2603,1
2604,1
2605,1
2606,1
2607,0
2608,0
2609,1
2610,0
2611,1
2612,2
2613,2
2614,1
2615,0
2616,1
2617,1
2618,1
2619,1
2620,0
2621,1
2622,1
2623,1
2624,0
2625,0
2626,0
2627,1
2628,1
2629,0
2630,2
2631,0
2632,2
2633,0
2634,2
2635,1
2636,1
2637,1
2638,2
2639,0
2640,1
2641,0
2642,0
2643,1
2644,1
2645,1
2646,1
2647,0
2648,0
2649,1
2650,1
2651,1
2652,0
2653,1
2654,2
2655,1
2656,0
2657,2
2658,0
2659,1
2660,1
2661,2
2662,1
2663,1
2664,1
2665,1
2666,1
2667,2
2668,2
2669,0
2670,1
2671,2
2672,2
2673,0
2674,1
2675,0
2676,1
2677,1
2678,0
2679,1
2680,0
2681,0
2682,0
2683,0
2684,0
2685,1
2686,0
2687,0
2688,1
2689,0
2690,1
2691,1
2692,1
2693,1
2694,0
2695,1
2696,1
2697,0
2698,1
2699,1
2700,1
2701,2
2702,1
2703,1
2704,2
2705,0
2706,0
2707,0
2708,0
2709,1
2710,2
2711,0
2712,1
2713,0
2714,1
2715,1
2716,0
2717,1
2718,0
2719,1
2720,1
2721,2
2722,2
2723,2
2724,0
2725,0
2726,2
2727,1
2728,0
2729,0
2730,1
2731,2
2732,2
2733,2
2734,1
2735,0
2736,1
2737,1
2738,1
2739,1
2740,2
2741,2
2742,1
2743,2
2744,0
2745,1
2746,1
2747,1
2748,1
2749,1
2750,0
2751,0
2752,1
2753,0
2754,1
2755,1
2756,0
2757,2
2758,2
2759,1
2760,1
2761,1
2762,1
2763,1
2764,1
2765,1
2766,0
2767,1
2768,1
2769,0
2770,1
2771,1
2772,1
2773,1
2774,1
2775,0
2776,1
2777,2
2778,0
2779,1
2780,2
2781,0
2782,2
2783,1
2784,1
2785,2
2786,2
2787,2
2788,1
2789,1
2790,2
2791,2
2792,0
2793,2
2794,0
2795,1
2796,1
2797,0
2798,1
2799,0
2800,1
2801,1
2802,0
2803,1
2804,1
2805,0
2806,0
2807,1
2808,1
2809,1
2810,2
2811,0
2812,2
2813,2
2814,2
2815,2
2816,1
2817,2
2818,1
2819,2
2820,1
2821,2
2822,1
2823,1
2824,1
2825,1
2826,2
2827,1
2828,1
2829,1
2830,2
2831,1
2832,2
2833,0
2834,0
2835,0
2836,0
2837,0
2838,1
2839,0
2840,0
2841,1
2842,2
2843,1
2844,1
2845,0
2846,1
2847,1
2848,1
2849,1
2850,2
2851,2
2852,2
2853,0
2854,1
2855,1
2856,1
2857,1
2858,0
2859,1
2860,0
2861,1
2862,1
2863,1
2864,0
2865,1
2866,1
2867,1
2868,2
2869,1
2870,0
2871,0
2872,0
2873,0
2874,2
2875,2
2876,0
2877,2
2878,1
2879,1
2880,1
2881,0
2882,2
2883,1
2884,1
2885,0
2886,1
2887,0
2888,1
2889,1
2890,1
2891,0
2892,1
2893,2
2894,1
2895,1
2896,2
2897,1
2898,1
2899,2
2900,2
2901,1
2902,0
2903,2
2904,1
2905,1
2906,2
2907,2
2908,0
2909,1
2910,2
2911,1
2912,1
2913,0
2914,1
2915,1
2916,0
2917,1
2918,1
2919,2
2920,0
2921,1
2922,2
2923,2
2924,1
2925,0
2926,1
2927,1
2928,1
2929,0
2930,0
2931,1
2932,0
2933,1
2934,1
2935,0
2936,1
2937,0
2938,1
2939,0
2940,1
2941,1
2942,1
2943,1
2944,1
2945,1
2946,1
2947,0
2948,0
2949,1
2950,0
2951,0
2952,1
2953,1
2954,1
2955,1
2956,1
2957,1
2958,2
2959,1
2960,2
2961,1
2962,1
2963,0
2964,0
2965,0
2966,1
2967,1
2968,1
2969,1
2970,0
2971,1
2972,0
2973,0
2974,1
2975,0
2976,0
2977,1
2978,1
2979,1
2980,1
2981,0
2982,1
2983,1
2984,1
2985,2
2986,0
2987,1
2988,0
2989,1
2990,1
2991,2
2992,2
2993,1
2994,1
2995,1
2996,2
2997,0
